tracking_number,service_type,carrier_code,package_weight_kg,packaging_type,origin_city,origin_state,origin_pincode,destination_city,destination_state,destination_pincode,pickup_datetime_ist,delivery_datetime_ist,total_transit_hours,num_facilities_visited,num_in_transit_events,time_in_inter_facility_transit_hours,avg_hours_per_facility,is_express_service,delivery_location_type,num_out_for_delivery_attempts,first_attempt_delivery,total_events_count
390950240108,FEDEX_EXPRESS_SAVER,FDXE,28.0,YOUR_PACKAGING,Bangalore,KA,UNKNOWN,Mumbai,MH,UNKNOWN,2020-03-09 09:42:00,2020-03-12 10:30:00,72.8,5,9,59.9,14.56,True,UNKNOWN,0,True,13
390767808307,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,UNKNOWN,Greater Noida,UP,UNKNOWN,2020-03-02 10:53:00,2020-03-06 12:58:00,98.08,3,8,86.85,32.69,True,RESIDENCE,0,True,12
391128738630,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,UNKNOWN,Mumbai,MH,UNKNOWN,2020-03-16 10:14:00,2020-03-18 08:38:00,46.4,4,6,33.83,11.6,True,RESIDENCE,1,True,10
390902329207,FEDEX_EXPRESS_SAVER,FDXE,28.0,YOUR_PACKAGING,Bangalore,KA,UNKNOWN,Bengaluru,KA,UNKNOWN,2020-03-06 10:37:00,2020-03-07 05:36:00,18.98,2,6,12.95,9.49,True,RECEPTIONIST_OR_FRONT_DESK,1,True,10
391198356290,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,UNKNOWN,Thanjavur,TN,UNKNOWN,2020-03-18 11:38:00,2020-04-10 03:55:00,544.28,4,10,107.45,136.07,True,RESIDENCE,0,True,16
390931713959,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,UNKNOWN,Gurgaon,HR,UNKNOWN,2020-03-07 10:57:00,2020-03-11 09:49:00,94.87,4,7,80.95,23.72,True,RESIDENCE,1,True,11
391017620614,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,UNKNOWN,Delhi,DL,UNKNOWN,2020-03-11 11:09:00,2020-03-16 11:02:00,119.88,4,11,85.83,29.97,True,RESIDENCE,1,True,15
390932012191,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,UNKNOWN,Kozhikode,KL,UNKNOWN,2020-03-07 10:57:00,2020-03-10 10:30:00,71.55,3,5,59.68,23.85,True,RECEPTIONIST_OR_FRONT_DESK,0,True,8
390871747925,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,UNKNOWN,indore,MP,UNKNOWN,2020-03-05 13:50:00,2020-03-09 10:19:00,92.48,5,12,83.37,18.5,True,RESIDENCE,1,True,16
391128574287,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,UNKNOWN,Gurugram,HR,UNKNOWN,2020-03-16 10:14:00,2020-03-20 07:29:00,93.25,4,7,80.1,23.31,True,RESIDENCE,1,True,11
391109027000,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,UNKNOWN,Bhilai,CT,UNKNOWN,2020-03-14 11:05:00,2020-03-20 10:25:00,143.33,5,10,110.13,28.67,True,RESIDENCE,1,True,14
391049862758,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,UNKNOWN,Mumbai,MH,UNKNOWN,2020-03-12 10:47:00,2020-03-14 10:30:00,47.72,4,6,33.43,11.93,True,RECEPTIONIST_OR_FRONT_DESK,1,True,10
390931989124,FEDEX_EXPRESS_SAVER,FDXE,28.0,YOUR_PACKAGING,Bangalore,KA,UNKNOWN,GURGAON,HR,UNKNOWN,2020-03-07 10:57:00,2020-03-11 09:49:00,94.87,4,7,80.9,23.72,True,RESIDENCE,1,True,11
391195859433,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,UNKNOWN,Hyderabad,TS,UNKNOWN,2020-03-18 11:38:00,2020-03-20 10:00:00,46.37,4,6,36.32,11.59,True,RESIDENCE,1,True,10
390871742485,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,UNKNOWN,Mysore,KA,UNKNOWN,2020-03-05 13:50:00,2020-03-06 08:30:00,18.67,3,5,9.87,6.22,True,RECEPTIONIST_OR_FRONT_DESK,1,True,9
391049866890,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,UNKNOWN,Visakhapatnam,AP,UNKNOWN,2020-03-12 10:47:00,2020-03-16 10:56:00,96.15,5,9,62.42,19.23,True,RESIDENCE,1,True,13
390948910847,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,UNKNOWN,Mumbai,MH,UNKNOWN,2020-03-09 09:42:00,2020-03-12 08:15:00,70.55,5,8,41.88,14.11,True,RESIDENCE,1,True,14
391018754107,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,UNKNOWN,Nagpur,MH,UNKNOWN,2020-03-11 11:09:00,2020-03-14 07:47:00,68.63,4,8,59.05,17.16,True,RECEPTIONIST_OR_FRONT_DESK,1,True,12
280998636780,FEDEX_EXPRESS_SAVER,FDXE,3.8,YOUR_PACKAGING,Mumbai,MH,UNKNOWN,Surat,GJ,UNKNOWN,2021-07-03 12:40:00,2021-07-07 12:04:00,95.4,5,11,70.35,19.08,True,RESIDENCE,2,False,16
281176409884,FEDEX_EXPRESS_SAVER,FDXE,6.0,YOUR_PACKAGING,Mumbai,MH,UNKNOWN,Hyderabad,TS,UNKNOWN,2021-07-08 11:23:00,2021-07-13 10:43:00,119.33,4,9,95.33,29.83,True,RESIDENCE,2,False,15
281097610455,FEDEX_EXPRESS_SAVER,FDXE,18.0,YOUR_PACKAGING,Mumbai,MH,UNKNOWN,Bangalore,KA,UNKNOWN,2021-07-05 10:43:00,2021-07-09 11:07:00,96.4,4,9,71.65,24.1,True,RESIDENCE,0,True,13
281333571565,FEDEX_EXPRESS_SAVER,FDXE,17.24,YOUR_PACKAGING,Mumbai,MH,UNKNOWN,Mumbai,MH,UNKNOWN,2021-07-12 13:50:00,2021-07-14 07:05:00,41.25,3,6,24.33,13.75,True,RECEPTIONIST_OR_FRONT_DESK,2,False,12
281095533884,FEDEX_EXPRESS_SAVER,FDXE,12.0,YOUR_PACKAGING,Goa,GA,UNKNOWN,Chennai,TN,UNKNOWN,2021-07-07 13:52:00,2021-07-14 13:23:00,167.52,4,8,136.13,41.88,True,RECEPTIONIST_OR_FRONT_DESK,1,True,13
280267329094,FEDEX_EXPRESS_SAVER,FDXE,20.0,YOUR_PACKAGING,Delhi,DL,UNKNOWN,Noida,UP,UNKNOWN,2021-06-11 13:26:00,2021-06-16 05:58:00,112.53,3,13,107.55,37.51,True,RECEPTIONIST_OR_FRONT_DESK,0,True,18
280267328981,FEDEX_EXPRESS_SAVER,FDXE,20.0,YOUR_PACKAGING,Delhi,DL,UNKNOWN,Hyderabad,TS,UNKNOWN,2021-06-11 13:26:00,2021-06-18 11:48:00,166.37,5,12,155.63,33.27,True,IN_BOND_OR_CAGE,0,True,16
281038348186,FEDEX_EXPRESS_SAVER,FDXE,2.0,YOUR_PACKAGING,Mumbai,MH,UNKNOWN,Pune,MH,UNKNOWN,2021-07-03 12:33:00,2021-07-07 10:43:00,94.17,4,10,71.1,23.54,True,RESIDENCE,2,False,15
280439181099,FEDEX_EXPRESS_SAVER,FDXE,32.0,YOUR_PACKAGING,Delhi,DL,UNKNOWN,Chennai,TN,UNKNOWN,2021-06-16 13:52:00,2021-06-24 12:52:00,191.0,4,12,180.15,47.75,True,RECEPTIONIST_OR_FRONT_DESK,1,True,17
281222569500,FEDEX_EXPRESS_SAVER,FDXE,22.5,YOUR_PACKAGING,Delhi,DL,UNKNOWN,Jammu,JK,UNKNOWN,2021-07-09 09:05:00,2021-07-15 12:53:00,147.8,4,7,64.8,36.95,True,RECEPTIONIST_OR_FRONT_DESK,0,True,12
280307632740,FEDEX_EXPRESS_SAVER,FDXE,2.0,YOUR_PACKAGING,Mumbai,MH,UNKNOWN,Pune,MH,UNKNOWN,2021-06-14 14:01:00,2021-06-16 11:00:00,44.98,4,7,38.13,11.25,True,RESIDENCE,1,True,11
280307633276,FEDEX_EXPRESS_SAVER,FDXE,2.0,YOUR_PACKAGING,Mumbai,MH,UNKNOWN,Pune,MH,UNKNOWN,2021-06-14 14:01:00,2021-06-16 11:00:00,44.98,4,7,38.17,11.25,True,RESIDENCE,1,True,11
280993568461,FEDEX_EXPRESS_SAVER,FDXE,1.5,YOUR_PACKAGING,Pune,MH,UNKNOWN,Mumbai,MH,UNKNOWN,2021-07-03 10:49:00,2021-07-06 05:00:00,66.18,2,6,41.38,33.09,True,RESIDENCE,2,False,12
